source,dataset,architecture,method,eps,seed,trial_number,clean_acc,certified_acc,feasible,constraints,path
expressive_losses,cifar10,cnn7,exp_ibp,0.00784313725490196,0,98,0.8023,0.4511999785900116,True,"[-0.20230000000000004, -0.051199978590011574]",cifar10_cnn7_exp_ibp_0.00784313725490196_0_complete_False
expressive_losses,cifar10,cnn7,exp_ibp,0.00784313725490196,0,88,0.8095,0.4472000002861023,True,"[-0.20950000000000002, -0.04720000028610227]",cifar10_cnn7_exp_ibp_0.00784313725490196_0_complete_False
expressive_losses,cifar10,cnn7,exp_ibp,0.00784313725490196,1,98,0.8208,0.41819998621940613,True,"[-0.2208, -0.018199986219406106]",cifar10_cnn7_exp_ibp_0.00784313725490196_1_complete_False
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,60,0.7433,0.5956000089645386,True,"[-0.14329999999999998, -0.19560000896453855]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,67,0.7518,0.5942999720573425,True,"[-0.15180000000000005, -0.1942999720573425]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,91,0.7543,0.5924999713897705,True,"[-0.1543, -0.19249997138977049]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,48,0.7613,0.5896999835968018,True,"[-0.1613, -0.18969998359680174]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,56,0.7632,0.5875999927520752,True,"[-0.1632, -0.18759999275207517]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,33,0.7762,0.5769999623298645,True,"[-0.17620000000000002, -0.17699996232986448]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,29,0.7795,0.5717999935150146,True,"[-0.1795, -0.17179999351501463]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,28,0.7825,0.5712999701499939,True,"[-0.1825, -0.17129997014999387]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
